configuration,case_runs,tp,fp,fn,disposition_correct,disposition_total,surfaced_claims,median_seconds,p95_seconds,reported_cost_usd
rules,46,23,12,5,19,46,35,0.21153931244043633,0.3437314999755472,
naive_single_pass,46,23,12,5,19,46,35,0.2101822920376435,0.3416065840283409,
scoped_single_pass,46,0,0,28,20,46,0,0.21069781249389052,0.24371350009460002,
demo_style_react,46,0,0,28,20,46,0,0.20729318750090897,0.24299562501255423,
v2_no_semantic,46,10,0,18,46,46,10,0.2124969380092807,0.29524812498129904,
v2,46,10,0,18,46,46,10,0.20853775000432506,0.26936895900871605,
v2_initial_scope_only,46,0,0,28,36,46,0,0.21210312499897555,0.2742403750307858,
v2_legacy_pipe,46,0,0,28,36,46,0,0.21160087449243292,0.2855290840379894,
v2_no_contradiction,46,10,6,18,42,46,16,0.21607656253036112,0.2796960830455646,
v2_no_coverage,46,10,0,18,44,46,10,0.21822989598149434,0.27717854094225913,
v2_no_graph,46,10,0,18,46,46,10,0.2151527504902333,0.29960062506143004,
v2_no_injection_defenses,46,24,0,4,32,46,24,0.2239167505176738,0.27694129198789597,
v2_no_selective_triage,46,10,0,18,46,46,10,0.2165480624535121,0.2864240419585258,
v2_pipe,46,10,0,18,46,46,10,0.2098341875243932,0.2727647499414161,
v2_raw,46,10,0,18,46,46,10,0.20794354152167216,0.28850008302833885,
v2_small_context,46,0,0,28,32,46,0,0.21796366648050025,0.30521270795725286,
v2_tool_budget_1,46,0,0,28,20,46,0,0.2128021665266715,0.26269570796284825,
v2_typed_edges,46,10,0,18,46,46,10,0.20870818803086877,0.27868716698139906,
v2_typed_json,46,10,0,18,46,46,10,0.2114567289245315,0.2877785420278087,
